,Airport,Code,Originating Domestic Passengers 10%,Originating Domestic Passengers
1,"Los Angeles, CA: Los Angeles International",LAX,"1,564,494",15644940
2,"Chicago, IL: Chicago O'Hare International",ORD,"1,266,224",12662240
3,"Denver, CO: Denver International",DEN,"1,241,394",12413940
4,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL,"1,128,009",11280090
5,"Boston, MA: Logan International",BOS,"1,043,353",10433530
6,"San Francisco, CA: San Francisco International",SFO,"1,013,794",10137940
7,"Seattle, WA: Seattle/Tacoma International",SEA,"1,001,502",10015020
8,"Newark, NJ: Newark Liberty International",EWR,"938,695",9386950
9,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",DFW,"935,860",9358600
10,"Orlando, FL: Orlando International",MCO,"873,096",8730960
11,"New York, NY: John F. Kennedy International",JFK,"830,008",8300080
12,"Phoenix, AZ: Phoenix Sky Harbor International",PHX,"816,031",8160310
13,"New York, NY: LaGuardia",LGA,"801,538",8015380
14,"Las Vegas, NV: McCarran International",LAS,"773,745",7737450
15,"Minneapolis, MN: Minneapolis-St Paul International",MSP,"726,465",7264650
16,"Philadelphia, PA: Philadelphia International",PHL,"694,107",6941070
17,"Detroit, MI: Detroit Metro Wayne County",DTW,"655,017",6550170
18,"San Diego, CA: San Diego International",SAN,"653,382",6533820
19,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FLL,"636,760",6367600
20,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",BWI,"628,088",6280880
21,"Houston, TX: George Bush Intercontinental/Houston",IAH,"578,011",5780110
22,"Washington, DC: Ronald Reagan Washington National",DCA,"562,560",5625600
23,"Tampa, FL: Tampa International",TPA,"541,352",5413520
24,"Portland, OR: Portland International",PDX,"537,905",5379050
25,"Austin, TX: Austin - Bergstrom International",AUS,"488,498",4884980
26,"Salt Lake City, UT: Salt Lake City International",SLC,"448,431",4484310
27,"Charlotte, NC: Charlotte Douglas International",CLT,"439,658",4396580
28,"San Jose, CA: Norman Y. Mineta San Jose International",SJC,"438,478",4384780
29,"Raleigh/Durham, NC: Raleigh-Durham International",RDU,"417,339",4173390
30,"Chicago, IL: Chicago Midway International",MDW,"415,696",4156960
31,"Nashville, TN: Nashville International",BNA,"413,833",4138330
32,"Sacramento, CA: Sacramento International",SMF,"405,082",4050820
33,"Oakland, CA: Metropolitan Oakland International",OAK,"389,248",3892480
34,"Miami, FL: Miami International",MIA,"388,762",3887620
35,"St. Louis, MO: St Louis Lambert International",STL,"367,059",3670590
36,"Kansas City, MO: Kansas City International",MCI,"350,507",3505070
37,"Dallas, TX: Dallas Love Field",DAL,"337,688",3376880
38,"Honolulu, HI: Daniel K Inouye International",HNL,"327,764",3277640
39,"Cleveland, OH: Cleveland-Hopkins International",CLE,"318,712",3187120
40,"New Orleans, LA: Louis Armstrong New Orleans International",MSY,"316,979",3169790
41,"Washington, DC: Washington Dulles International",IAD,"314,108",3141080
42,"Indianapolis, IN: Indianapolis International",IND,"296,292",2962920
