IATA,AIRPORT,City,STATE,COUNTRY,LATITUDE,LONGITUDE
ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.76600190000002
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503
SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608
DLG,Dillingham,Dillingham,AK,USA,59.0454125,-158.5033389
FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
GST,Gustavus,Gustavus,AK,USA,58.42438139,-135.7073814
JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.57627639999998
KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374
AKN,King Salmon,King Salmon,AK,USA,58.67680167,-156.6492175
ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497
OME,Nome,Nome,AK,USA,64.51220222,-165.4452458
PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781
SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983
WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242
YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611
XNA,Northwest Arkansas Regional,Fayetteville Springdale Rogers,AR,USA,36.28186944,-94.30681111
FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556
TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99101999999999
PPG,Pago Pago International,Pago Pago,AS,USA,14.33102278,-170.71052580000003
FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.67121829999999
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.60597220000001
ACV,Arcata,Arcata Eureka,CA,USA,40.97811528,-124.1086189
BFL,Meadows ,Bakersfield,CA,USA,35.43359806,-119.05676809999999
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
CIC,Chico Municipal,Chico,CA,USA,39.79538278,-121.8584231
CEC,Jack McNamara ,Crescent City,CA,USA,41.78015722,-124.23653329999999
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389
IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456
IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999
MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722
MOD,Modesto City-County-Harry Sham ,Modesto,CA,USA,37.62581722,-120.95442140000002
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.84294779999999
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.22071670000001
ONT,Ontario International,Ontario,CA,USA,34.056,-117.60119440000001
OXR,Oxnard,Oxnard,CA,USA,34.20080083,-119.20721640000001
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001
SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.64239309999999
SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733
SMX,Santa Maria Pub Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825
ASE,Aspen-Pitkin Co Sardy ,Aspen,CO,USA,39.22316,-106.868845
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.75376920000001
EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.91769529999999
GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347
GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817
