RegionID,SizeRank,City,RegionType,State,Metro,CountyName,Mean (2010),Mean (2020),Mean (2021(Q1)),Code,Originating Domestic Passengers 10%,Originating Domestic Passengers,AIRPORT,LATITUDE,LONGITUDE
23482,75,Anchorage,City,AK,Anchorage,Anchorage Borough,286729.15,328921.83,347993.67,,,,,,
16838,957,Auburn,City,AL,Auburn-Opelika,Lee County,209775.66,259125.33,272677.33,,,,,,
3489,16811,Autaugaville,City,AL,Montgomery,Autauga County,210714.9,239229.75,234895.33,,,,,,
3562,3053,Bay Minette,City,AL,Daphne-Fairhope-Foley,Baldwin County,115806.79,147663.5,156387.67,,,,,,
21764,9409,Berry,City,AL,Tuscaloosa,Tuscaloosa County,93183.58,113776.92,119570.33,,,,,,
51002,15963,Billingsley,City,AL,Montgomery,Autauga County,195547.87,215848.58,224769.33,,,,,,
44250,25351,Bon Secour,City,AL,Daphne-Fairhope-Foley,Baldwin County,120565.05,176862.08,185409.67,,,,,,
3842,9148,Brookwood,City,AL,Tuscaloosa,Tuscaloosa County,116715.34,146219.08,153829.67,,,,,,
17223,14117,Buhl,City,AL,Tuscaloosa,Tuscaloosa County,137671.11,162567.33,167242.0,,,,,,
3947,11307,Camp Hill,City,AL,Alexander City,Tallapoosa County,56549.0,66604.08,68825.67,,,,,,
30870,7772,Chickasaw,City,AL,Mobile,Mobile County,65884.62,76577.83,79999.67,,,,,,
8211,8552,Chunchula,City,AL,Mobile,Mobile County,122767.38,150714.42,160668.0,,,,,,
48822,5499,Citronelle,City,AL,Mobile,Mobile County,97173.15,119594.92,124554.67,,,,,,
44672,8704,Coker,City,AL,Tuscaloosa,Tuscaloosa County,155117.34,187843.17,197054.67,,,,,,
36819,4921,Cottondale,City,AL,Tuscaloosa,Tuscaloosa County,131991.6,155312.0,162925.67,,,,,,
10989,14411,Creola,City,AL,Mobile,Mobile County,120877.92,147152.75,154053.33,,,,,,
14948,2467,Daphne,City,AL,Daphne-Fairhope-Foley,Baldwin County,182422.92,220765.58,232714.33,,,,,,
35035,3633,Deatsville,City,AL,Montgomery,Elmore County,169907.17,195622.0,207379.0,,,,,,
31276,9686,Duncanville,City,AL,Tuscaloosa,Tuscaloosa County,132553.2,154091.0,162565.0,,,,,,
17929,6843,Eight Mile,City,AL,Mobile,Mobile County,105652.68,126085.08,133230.67,,,,,,
43800,5992,Elberta,City,AL,Daphne-Fairhope-Foley,Baldwin County,163254.84,222547.58,238347.33,,,,,,
4660,1741,Fairhope,City,AL,Daphne-Fairhope-Foley,Baldwin County,249495.08,318831.0,338140.67,,,,,,
24739,2192,Foley,City,AL,Daphne-Fairhope-Foley,Baldwin County,143060.7,190343.58,202661.33,,,,,,
43683,12045,Fosters,City,AL,Tuscaloosa,Tuscaloosa County,143951.31,170143.42,177760.67,,,,,,
11667,4114,Grand Bay,City,AL,Mobile,Mobile County,119039.63,140970.42,150857.67,,,,,,
18411,4118,Gulf Shores,City,AL,Daphne-Fairhope-Foley,Baldwin County,206065.57,285999.58,314350.0,,,,,,
42276,10832,Hope Hull,City,AL,Montgomery,Montgomery County,153026.88,176427.08,186020.67,,,,,,
12066,4886,Irvington,City,AL,Mobile,Mobile County,107979.72,129460.5,139782.0,,,,,,
12105,1724,Jasper,City,AL,Birmingham-Hoover,Walker County,107881.46,121183.08,124043.0,,,,,,
22147,23752,Jones,City,AL,Montgomery,Autauga County,145245.78,160784.33,165245.67,,,,,,
25479,27444,Lake View,City,AL,Tuscaloosa,Tuscaloosa County,176779.79,209211.33,215701.0,,,,,,
39533,5366,Loxley,City,AL,Daphne-Fairhope-Foley,Baldwin County,146029.47,187576.08,198561.33,,,,,,
5803,13046,Marbury,City,AL,Montgomery,Autauga County,182016.79,206470.17,208795.0,,,,,,
32900,92,Mobile,City,AL,Mobile,Mobile County,112277.7,132559.75,142413.0,,,,,,
32931,132,Montgomery,City,AL,Montgomery,Montgomery County,91340.52,95253.33,101939.0,,,,,,
12850,7182,Moundville,City,AL,Tuscaloosa,Hale County,124564.42,147080.5,152571.67,,,,,,
26215,1521,Northport,City,AL,Tuscaloosa,Tuscaloosa County,174588.54,207276.33,216120.33,,,,,,
46904,1374,Opelika,City,AL,Auburn-Opelika,Lee County,147619.35,180853.25,191388.33,,,,,,
13128,16339,Orrville,City,AL,Selma,Dallas County,47984.83,47181.08,48140.0,,,,,,
6426,10068,Parrish,City,AL,Birmingham-Hoover,Walker County,63041.71,68270.75,68909.33,,,,,,
6487,1311,Phenix City,City,AL,Columbus,Russell County,113413.26,125985.5,132493.33,,,,,,
13286,5023,Pike Road,City,AL,Montgomery,Montgomery County,282003.43,293072.75,303075.67,,,,,,
396302,20418,Plantersville,City,AL,Selma,Dallas County,95500.72,105534.5,107761.33,,,,,,
54001,1193,Prattville,City,AL,Montgomery,Autauga County,181060.4,209491.5,213187.67,,,,,,
26624,2596,Prichard,City,AL,Mobile,Mobile County,35285.59,35500.25,33296.67,,,,,,
54049,18171,Ralph,City,AL,Tuscaloosa,Tuscaloosa County,159260.87,186201.92,194080.67,,,,,,
26926,5642,Salem,City,AL,Auburn-Opelika,Lee County,160522.02,198573.5,208698.33,,,,,,
26971,4536,Saraland,City,AL,Mobile,Mobile County,127034.9,156024.5,166062.33,,,,,,
15976,7719,Satsuma,City,AL,Mobile,Mobile County,138257.38,168933.17,177018.67,,,,,,
27029,3905,Selma,City,AL,Selma,Dallas County,41804.63,48173.08,49384.67,,,,,,
20417,3219,Semmes,City,AL,Mobile,Mobile County,137294.11,161893.75,172494.67,,,,,,
50089,2383,Smiths,City,AL,Auburn-Opelika,Lee County,119858.21,139058.08,148726.67,,,,,,
106858,10367,Smiths Station,City,AL,Auburn-Opelika,Lee County,144231.87,167356.58,178782.0,,,,,,
50142,4090,Spanish Fort,City,AL,Daphne-Fairhope-Foley,Baldwin County,226813.32,264680.83,279335.0,,,,,,
9754,12734,Stockton,City,AL,Daphne-Fairhope-Foley,Baldwin County,127807.59,147013.58,158900.33,,,,,,
